,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
880,RailYatri,2011,Uttar Pradesh,Consumer Services,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation",13800000.0,Early Traction,2020-01-01
881,AjnaLens,2014,Maharashtra,Technology sector,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000.0,Early Traction,2020-01-01
882,Pepper,2017,Mumbai,Media & Entertainment,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900.0,Validation,2020-01-01
883,Rupeek,2015,Bengaluru,Finance sector,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,Early Traction,2020-01-01
884,iMerit,2012,Kolkata,Technology sector,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,20000000.0,Scaling,2020-01-01
885,BharatPe,2018,Delhi,Finance sector,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000.0,Scaling,2020-01-01
886,Invideo,2015,Bengaluru,Media & Entertainment,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,2500000.0,Early Traction,2020-01-01
887,AvalonMeta,2017,Bengaluru,Education & Training,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,420000.0,Early Traction,2020-01-01
888,Near Store,2015,Mumbai,Retail & E-commerce,Enables a shop to create an online presence,Byju Raveendran,Sauce.vc,300000.0,Validation,2020-01-01
889,ElecTorq,2015,Delhi,Industrial & Manufacturing,Electric vehicle startup,Anubhav Sharma,AdvantEdge,3000000.0,Early Traction,2020-01-01
890,Prayaan Capital,2015,Tamil Nadu,Finance sector,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000.0,Validation,2020-01-01
891,Sanfe,2015,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Early Traction,2020-01-01
892,Go Desi,2018,Delhi,Food & Beverage,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300.0,Validation,2020-01-01
893,Swiggy,2014,Bengaluru,Food & Beverage,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,113000000.0,Early Traction,2020-01-01
894,Whatfix,2014,Bengaluru,Technology sector,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,32000000.0,Scaling,2020-01-01
895,Unacademy,2010,Bengaluru,Education & Training,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Scaling,2020-01-01
896,Zvesta,2015,Gurgaon,Technology sector,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,5500000.0,Early Traction,2020-01-01
897,Dunzo,2014,Bengaluru,Logistics & Transportation,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,11000000.0,Early Traction,2020-01-01
898,Digit Insurance,2015,Bengaluru,Technology sector,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000.0,Early Traction,2020-01-01
